"speciesCode","comName","sciName"
"semplo","Semipalmated Plover","Charadrius semipalmatus"
"whimbr","Whimbrel","Numenius phaeopus"
"lobcur","Long-billed Curlew","Numenius americanus"
"margod","Marbled Godwit","Limosa fedoa"
"shbdow","Short-billed Dowitcher","Limnodromus griseus"
"lobdow","Long-billed Dowitcher","Limnodromus scolopaceus"
"wilsni1","Wilson's Snipe","Gallinago delicata"
"wilpha","Wilson's Phalarope","Phalaropus tricolor"
"renpha","Red-necked Phalarope","Phalaropus lobatus"
"sposan","Spotted Sandpiper","Actitis macularius"
"solsan","Solitary Sandpiper","Tringa solitaria"
"lesyel","Lesser Yellowlegs","Tringa flavipes"
"willet1","Willet","Tringa semipalmata"
"greyel","Greater Yellowlegs","Tringa melanoleuca"
"blktur","Black Turnstone","Arenaria melanocephala"
"bubsan","Buff-breasted Sandpiper","Calidris subruficollis"
"sander","Sanderling","Calidris alba"
"dunlin","Dunlin","Calidris alpina"
"baisan","Baird's Sandpiper","Calidris bairdii"
"leasan","Least Sandpiper","Calidris minutilla"
"pecsan","Pectoral Sandpiper","Calidris melanotos"
"wessan","Western Sandpiper","Calidris mauri"
"semsan","Semipalmated Sandpiper","Calidris pusilla"
"parjae","Parasitic Jaeger","Stercorarius parasiticus"
"marmur","Marbled Murrelet","Brachyramphus marmoratus"
"piggui","Pigeon Guillemot","Cepphus columba"
"sabgul","Sabine's Gull","Xema sabini"
"bongul","Bonaparte's Gull","Chroicocephalus philadelphia"
"fragul","Franklin's Gull","Leucophaeus pipixcan"
"mewgul2","Short-billed Gull","Larus brachyrhynchus"
"ribgul","Ring-billed Gull","Larus delawarensis"
"wesgul","Western Gull","Larus occidentalis"
"hergul","Herring Gull","Larus argentatus"
"glagul","Glaucous Gull","Larus hyperboreus"
"calgul","California Gull","Larus californicus"
"glwgul","Glaucous-winged Gull","Larus glaucescens"
"x00051","Western x Glaucous-winged Gull (hybrid)","Larus occidentalis x glaucescens"
"x00050","Herring x Glaucous-winged Gull (hybrid)","Larus argentatus x glaucescens"
"y00478","Iceland Gull","Larus glaucoides"
"caster1","Caspian Tern","Hydroprogne caspia"
"comter","Common Tern","Sterna hirundo"
"retloo","Red-throated Loon","Gavia stellata"
"pacloo","Pacific Loon","Gavia pacifica"
"comloo","Common Loon","Gavia immer"
"yebloo","Yellow-billed Loon","Gavia adamsii"
"bracor","Brandt's Cormorant","Urile penicillatus"
"pelcor","Pelagic Cormorant","Urile pelagicus"
"doccor","Double-crested Cormorant","Nannopterum auritum"
"amwpel","American White Pelican","Pelecanus erythrorhynchos"
"amebit","American Bittern","Botaurus lentiginosus"
"grnher","Green Heron","Butorides virescens"
"grbher3","Great Blue Heron","Ardea herodias"
"turvul","Turkey Vulture","Cathartes aura"
"osprey","Osprey","Pandion haliaetus"
"goleag","Golden Eagle","Aquila chrysaetos"
"norhar2","Northern Harrier","Circus hudsonius"
"shshaw","Sharp-shinned Hawk","Accipiter striatus"
"coohaw","Cooper's Hawk","Accipiter cooperii"
"norgos","American Goshawk","Accipiter atricapillus"
"baleag","Bald Eagle","Haliaeetus leucocephalus"
"swahaw","Swainson's Hawk","Buteo swainsoni"
"rethaw","Red-tailed Hawk","Buteo jamaicensis"
"rolhaw","Rough-legged Hawk","Buteo lagopus"
"grhowl","Great Horned Owl","Bubo virginianus"
"nopowl","Northern Pygmy-Owl","Glaucidium gnoma"
"brdowl","Barred Owl","Strix varia"
"sheowl","Short-eared Owl","Asio flammeus"
"nswowl","Northern Saw-whet Owl","Aegolius acadicus"
"belkin1","Belted Kingfisher","Megaceryle alcyon"
"rensap","Red-naped Sapsucker","Sphyrapicus nuchalis"
"rebsap","Red-breasted Sapsucker","Sphyrapicus ruber"
"lewwoo","Lewis's Woodpecker","Melanerpes lewis"
"dowwoo","Downy Woodpecker","Dryobates pubescens"
"haiwoo","Hairy Woodpecker","Dryobates villosus"
"pilwoo","Pileated Woodpecker","Dryocopus pileatus"
"norfli","Northern Flicker","Colaptes auratus"
"amekes","American Kestrel","Falco sparverius"
"merlin","Merlin","Falco columbarius"
"perfal","Peregrine Falcon","Falco peregrinus"
"olsfly","Olive-sided Flycatcher","Contopus cooperi"
"wewpew","Western Wood-Pewee","Contopus sordidulus"
"wilfly","Willow Flycatcher","Empidonax traillii"
"leafly","Least Flycatcher","Empidonax minimus"
"hamfly","Hammond's Flycatcher","Empidonax hammondii"
"dusfly","Dusky Flycatcher","Empidonax oberholseri"
"wesfly","Western Flycatcher","Empidonax difficilis"
"saypho","Say's Phoebe","Sayornis saya"
"astfly","Ash-throated Flycatcher","Myiarchus cinerascens"
"trokin","Tropical Kingbird","Tyrannus melancholicus"
"weskin","Western Kingbird","Tyrannus verticalis"
"easkin","Eastern Kingbird","Tyrannus tyrannus"
"hutvir","Hutton's Vireo","Vireo huttoni"
"casvir","Cassin's Vireo","Vireo cassinii"
"warvir","Warbling Vireo","Vireo gilvus"
"reevir1","Red-eyed Vireo","Vireo olivaceus"
"norshr4","Northern Shrike","Lanius borealis"
"stejay","Steller's Jay","Cyanocitta stelleri"
"cowscj1","California Scrub-Jay","Aphelocoma californica"
"amecro","American Crow","Corvus brachyrhynchos"
"comrav","Common Raven","Corvus corax"
"bkcchi","Black-capped Chickadee","Poecile atricapillus"
"mouchi","Mountain Chickadee","Poecile gambeli"
"chbchi","Chestnut-backed Chickadee","Poecile rufescens"
"horlar","Horned Lark","Eremophila alpestris"
"banswa","Bank Swallow","Riparia riparia"
"treswa","Tree Swallow","Tachycineta bicolor"
"vigswa","Violet-green Swallow","Tachycineta thalassina"
"purmar","Purple Martin","Progne subis"
"nrwswa","Northern Rough-winged Swallow","Stelgidopteryx serripennis"
"barswa","Barn Swallow","Hirundo rustica"
"cliswa","Cliff Swallow","Petrochelidon pyrrhonota"
"bushti","Bushtit","Psaltriparus minimus"
"ruckin","Ruby-crowned Kinglet","Corthylio calendula"
"gockin","Golden-crowned Kinglet","Regulus satrapa"
"rebnut","Red-breasted Nuthatch","Sitta canadensis"
"brncre","Brown Creeper","Certhia americana"
"buggna","Blue-gray Gnatcatcher","Polioptila caerulea"
"rocwre","Rock Wren","Salpinctes obsoletus"
"houwre","House Wren","Troglodytes aedon"
"pacwre1","Pacific Wren","Troglodytes pacificus"
"marwre","Marsh Wren","Cistothorus palustris"
"bewwre","Bewick's Wren","Thryomanes bewickii"
"amedip","American Dipper","Cinclus mexicanus"
"eursta","European Starling","Sturnus vulgaris"
"grycat","Gray Catbird","Dumetella carolinensis"
"sagthr","Sage Thrasher","Oreoscoptes montanus"
"moublu","Mountain Bluebird","Sialia currucoides"
"towsol","Townsend's Solitaire","Myadestes townsendi"
"varthr","Varied Thrush","Ixoreus naevius"
"swathr","Swainson's Thrush","Catharus ustulatus"
"herthr","Hermit Thrush","Catharus guttatus"
"amerob","American Robin","Turdus migratorius"
"bohwax","Bohemian Waxwing","Bombycilla garrulus"
"cedwax","Cedar Waxwing","Bombycilla cedrorum"
"houspa","House Sparrow","Passer domesticus"
"amepip","American Pipit","Anthus rubescens"
"evegro","Evening Grosbeak","Coccothraustes vespertinus"
"pingro","Pine Grosbeak","Pinicola enucleator"
"houfin","House Finch","Haemorhous mexicanus"
"purfin","Purple Finch","Haemorhous purpureus"
"comred","Common Redpoll","Acanthis flammea"
"redcro","Red Crossbill","Loxia curvirostra"
"whwcro","White-winged Crossbill","Loxia leucoptera"
"pinsis","Pine Siskin","Spinus pinus"
"amegfi","American Goldfinch","Spinus tristis"
"laplon","Lapland Longspur","Calcarius lapponicus"
"chclon","Chestnut-collared Longspur","Calcarius ornatus"
"snobun","Snow Bunting","Plectrophenax nivalis"
"chispa","Chipping Sparrow","Spizella passerina"
"clcspa","Clay-colored Sparrow","Spizella pallida"
"amtspa","American Tree Sparrow","Spizelloides arborea"
"foxspa","Fox Sparrow","Passerella iliaca"
"daejun","Dark-eyed Junco","Junco hyemalis"
"whcspa","White-crowned Sparrow","Zonotrichia leucophrys"
"gocspa","Golden-crowned Sparrow","Zonotrichia atricapilla"
"harspa","Harris's Sparrow","Zonotrichia querula"
"whtspa","White-throated Sparrow","Zonotrichia albicollis"
"vesspa","Vesper Sparrow","Pooecetes gramineus"
"savspa","Savannah Sparrow","Passerculus sandwichensis"
"sonspa","Song Sparrow","Melospiza melodia"
"linspa","Lincoln's Sparrow","Melospiza lincolnii"
"swaspa","Swamp Sparrow","Melospiza georgiana"
"spotow","Spotted Towhee","Pipilo maculatus"
"yehbla","Yellow-headed Blackbird","Xanthocephalus xanthocephalus"
"wesmea","Western Meadowlark","Sturnella neglecta"
"bulori","Bullock's Oriole","Icterus bullockii"
"rewbla","Red-winged Blackbird","Agelaius phoeniceus"
"bnhcow","Brown-headed Cowbird","Molothrus ater"
"rusbla","Rusty Blackbird","Euphagus carolinus"
"brebla","Brewer's Blackbird","Euphagus cyanocephalus"
"norwat","Northern Waterthrush","Parkesia noveboracensis"
"bawwar","Black-and-white Warbler","Mniotilta varia"
"tenwar","Tennessee Warbler","Leiothlypis peregrina"
"orcwar","Orange-crowned Warbler","Leiothlypis celata"
"naswar","Nashville Warbler","Leiothlypis ruficapilla"
"macwar","MacGillivray's Warbler","Geothlypis tolmiei"
"comyel","Common Yellowthroat","Geothlypis trichas"
"amered","American Redstart","Setophaga ruticilla"
"yelwar","Yellow Warbler","Setophaga petechia"
"bkpwar","Blackpoll Warbler","Setophaga striata"
"palwar","Palm Warbler","Setophaga palmarum"
"yerwar","Yellow-rumped Warbler","Setophaga coronata"
"btywar","Black-throated Gray Warbler","Setophaga nigrescens"
"towwar","Townsend's Warbler","Setophaga townsendi"
"x00867","Black-throated Gray x Townsend's Warbler (hybrid)","Setophaga nigrescens x townsendi"
"wlswar","Wilson's Warbler","Cardellina pusilla"
"westan","Western Tanager","Piranga ludoviciana"
"bkhgro","Black-headed Grosbeak","Pheucticus melanocephalus"
"lazbun","Lazuli Bunting","Passerina amoena"
