"alphaCode_bc","bandingCode","comNameCode","speciesCode","comName","comName_ebird","sciNameCode","sciName","familyComName","familySciName","familyCode","order","comment"
"BHCO","BHCO","","bnhcow","Brown-headed Cowbird","Brown-headed Cowbird","MOAT","Molothrus ater","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"BHGR","BHGR","","bkhgro","Black-headed Grosbeak","Black-headed Grosbeak","PHME","Pheucticus melanocephalus","Cardinals and Allies","Cardinalidae","cardin1","Passeriformes",""
"BHVI","","","","Blue-headed Vireo","Blue-headed Vireo","","","","","","",""
"BKPW","BLPW","BLWA","bkpwar","Blackpoll Warbler","Blackpoll Warbler","SEST","Setophaga striata","New World Warblers","Parulidae","paruli1","Passeriformes",""
"BKSW","BANS","SAMA BASW CSMA","banswa","Bank Swallow","Bank Swallow","RIRI","Riparia riparia","Swallows","Hirundinidae","hirund2","Passeriformes",""
"BLJA","","","","Blue Jay","Blue Jay","","","","","","",""
"BLKI","","","","Black-legged Kittiwake","Black-legged Kittiwake","","","","","","",""
"BLOY","BLOY","","blkoys","Black Oystercatcher","Black Oystercatcher","HABA","Haematopus bachmani","Oystercatchers","Haematopodidae","haemat1","Charadriiformes",""
"BLSW","BLSW","ABSW","blkswi","Black Swift","Black Swift","CYNI","Cypseloides niger","Swifts","Apodidae","apodid1","Caprimulgiformes",""
"BLTE","","","","Black Tern","Black Tern","","","","","","",""
"BNOW","","","","Barn Owl","Barn Owl","","","","","","",""
"BNST","","","","Black-necked Stilt","Black-necked Stilt","","","","","","",""
"BOBO","","","","Bobolink","Bobolink","","","","","","",""
"BOCH","","","","Boreal Chickadee","Boreal Chickadee","","","","","","",""
"BOGU","BOGU","","bongul","Bonaparte's Gull","Bonaparte's Gull","CHPH","Chroicocephalus philadelphia","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"BOOW","","","","Boreal Owl","Boreal Owl","","","","","","",""
"BOWA","BOWA","","bohwax","Bohemian Waxwing","Bohemian Waxwing","BOGA","Bombycilla garrulus","Waxwings","Bombycillidae","bombyc1","Passeriformes",""
"BRAN","BRAN","BRGO","brant","Brant","Brant","BRBE","Branta bernicla","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"BRBL","BRBL","","brebla","Brewer's Blackbird","Brewer's Blackbird","EUCY","Euphagus cyanocephalus","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"BRCO","BRAC","BRCO","bracor","Brandt's Cormorant","Brandt's Cormorant","URPE","Urile penicillatus","Cormorants and Shags","Phalacrocoracidae","phalac1","Suliformes",""
"BRCR","BRCR","AMTR ABCR","brncre","Brown Creeper","Brown Creeper","CEAM","Certhia americana","Treecreepers","Certhiidae","certhi2","Passeriformes",""
"BRSP","","","","Brewer's Sparrow","Brewer's Sparrow","","","","","","",""
"BRTH","","","","Brown Thrasher","Brown Thrasher","","","","","","",""
"BTBW","","","","Black-throated Blue Warbler","Black-throated Blue Warbler","","","","","","",""
"BTGW","BTYW","BTGW","btywar","Black-throated Gray Warbler","Black-throated Gray Warbler","SENI","Setophaga nigrescens","New World Warblers","Parulidae","paruli1","Passeriformes",""
"BTHU","","","","Broad-tailed Hummingbird","Broad-tailed Hummingbird","","","","","","",""
"BTNW","","","","Black-throated Green Warbler","Black-throated Green Warbler","","","","","","",""
"BTPI","BTPI","NBTP","batpig1","Band-tailed Pigeon","Band-tailed Pigeon","PAFA","Patagioenas fasciata","Pigeons and Doves","Columbidae","columb2","Columbiformes",""
"BTSP","","","","Black-throated Sparrow","Black-throated Sparrow","","","","","","",""
"BUFF","BUFF","","buffle","Bufflehead","Bufflehead","BUAL","Bucephala albeola","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"BUOR","BUOR","","bulori","Bullock's Oriole","Bullock's Oriole","ICBU","Icterus bullockii","Troupials and Allies","Icteridae","icteri1","Passeriformes",""
"BUOW","","","","Burrowing Owl","Burrowing Owl","","","","","","",""
"BUSH","BUSH","AMBU","bushti","Bushtit","Bushtit","PSMI","Psaltriparus minimus","Long-tailed Tits","Aegithalidae","aegith2","Passeriformes",""
"BWHA","","","","Broad-winged Hawk","Broad-winged Hawk","","","","","","",""
"BWTE","BWTE","","buwtea","Blue-winged Teal","Blue-winged Teal","SPDI","Spatula discors","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"CAAU","","","","Cassin's Auklet","Cassin's Auklet","","","","","","",""
"CAFI","","","","Cassin's Finch","Cassin's Finch","","","","","","",""
"CAGO","CANG","CAGO","cangoo","Canada Goose","Canada Goose","BRCA","Branta canadensis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"","CACG","CAGO","cacgoo1","Cackling Goose","Cackling Goose","BRHU","Branta hutchinsii","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes","At least one of the eBird codes matches the BC code above, but different taxa."
"CAGU","CAGU","","calgul","California Gull","California Gull","LACA","Larus californicus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"CAHU","CAHU","","calhum","Calliope Hummingbird","Calliope Hummingbird","SECA","Selasphorus calliope","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes",""
"CANV","CANV","","canvas","Canvasback","Canvasback","AYVA","Aythya valisineria","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"CAQU","","","","California Quail","California Quail","","","","","","",""
"CATE","CATE","","caster1","Caspian Tern","Caspian Tern","HYCA","Hydroprogne caspia","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"CAVI","CAVI","","casvir","Cassin's Vireo","Cassin's Vireo","VICA","Vireo cassinii","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes",""
"CAWA","","","","Canada Warbler","Canada Warbler","","","","","","",""
"CAWR","","","","Canyon Wren","Canyon Wren","","","","","","",""
"CBCH","CBCH","","chbchi","Chestnut-backed Chickadee","Chestnut-backed Chickadee","PORU","Poecile rufescens","Tits, Chickadees, and Titmice","Paridae","parida1","Passeriformes",""
"CCSP","CCSP","","clcspa","Clay-colored Sparrow","Clay-colored Sparrow","SPPA","Spizella pallida","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"CEWA","CEDW","CEWA","cedwax","Cedar Waxwing","Cedar Waxwing","BOCE","Bombycilla cedrorum","Waxwings","Bombycillidae","bombyc1","Passeriformes",""
"CHSP","CHSP","","chispa","Chipping Sparrow","Chipping Sparrow","SPPA","Spizella passerina","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"CHUK","","","","Chukar","Chukar","","","","","","",""
"CITE","CITE","","cintea","Cinnamon Teal","Cinnamon Teal","SPCY","Spatula cyanoptera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"CLGR","","","","Clark's Grebe","Clark's Grebe","","","","","","",""
"CLNU","","","","Clark's Nutcracker","Clark's Nutcracker","","","","","","",""
"CLSW","CLSW","ACSW","cliswa","Cliff Swallow","Cliff Swallow","PEPY","Petrochelidon pyrrhonota","Swallows","Hirundinidae","hirund2","Passeriformes",""
"CMWA","","","","Cape May Warbler","Cape May Warbler","","","","","","",""
"COFL","","","","Cordilleran Flycatcher","Cordilleran Flycatcher","","","","","","",""
"COGO","COGO","","comgol","Common Goldeneye","Common Goldeneye","BUCL","Bucephala clangula","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"COGR","","","","Common Grackle","Common Grackle","","","","","","",""
"COHA","COHA","","coohaw","Cooper's Hawk","Cooper's Hawk","ACCO","Accipiter cooperii","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"COLO","COLO","GNDI","comloo","Common Loon","Common Loon","GAIM","Gavia immer","Loons","Gaviidae","gaviid1","Gaviiformes",""
"COME","COME","GOOS","commer","Common Merganser","Common Merganser","MEME","Mergus merganser","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"COMU","","","","Common Murre","Common Murre","","","","","","",""
"CONI","CONI","","comnig","Common Nighthawk","Common Nighthawk","CHMI","Chordeiles minor","Nightjars and Allies","Caprimulgidae","caprim2","Caprimulgiformes",""
"COPO","","","","Common Poorwill","Common Poorwill","","","","","","",""
"CORA","CORA","NORA","comrav","Common Raven","Common Raven","COCO","Corvus corax","Crows, Jays, and Magpies","Corvidae","corvid1","Passeriformes",""
"CORE","CORE","REDP","comred","Common Redpoll","Common Redpoll","ACFL","Acanthis flammea","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"COTE","COTE","","comter","Common Tern","Common Tern","STHI","Sterna hirundo","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"COWA","","","","Connecticut Warbler","Connecticut Warbler","","","","","","",""
"COYE","COYE","","comyel","Common Yellowthroat","Common Yellowthroat","GETR","Geothlypis trichas","New World Warblers","Parulidae","paruli1","Passeriformes",""
"CROW","","","","American or Northwestern Crow","American or Northwestern Crow","","","","","","",""
"CSWA","","","","Chestnut-sided Warbler","Chestnut-sided Warbler","","","","","","",""
"DCCO","DCCO","","doccor","Double-crested Cormorant","Double-crested Cormorant","NAAU","Nannopterum auritum","Cormorants and Shags","Phalacrocoracidae","phalac1","Suliformes",""
"DEJU","DEJU","","daejun","Dark-eyed Junco","Dark-eyed Junco","JUHY","Junco hyemalis","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"DOWO","DOWO","","dowwoo","Downy Woodpecker","Downy Woodpecker","DRPU","Dryobates pubescens","Woodpeckers","Picidae","picida1","Piciformes",""
"DUFL","DUFL","ADFL","dusfly","Dusky Flycatcher","Dusky Flycatcher","EMOB","Empidonax oberholseri","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"DUGR","","","","Dusky Grouse","Dusky Grouse","","","","","","",""
"EAGR","EAGR","BNGR","eargre","Eared Grebe","Eared Grebe","PONI","Podiceps nigricollis","Grebes","Podicipedidae","podici1","Podicipediformes",""
"EAKI","EAKI","","easkin","Eastern Kingbird","Eastern Kingbird","TYTY","Tyrannus tyrannus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"EAPH","","","","Eastern Phoebe","Eastern Phoebe","","","","","","",""
"ECDO","EUCD","CODO ECDO","eucdov","Eurasian Collared-Dove","Eurasian Collared-Dove","STDE","Streptopelia decaocto","Pigeons and Doves","Columbidae","columb2","Columbiformes",""
"EUST","EUST","COST","eursta","European Starling","European Starling","STVU","Sturnus vulgaris","Starlings","Sturnidae","sturni1","Passeriformes",""
"EUWI","EUWI","","eurwig","Eurasian Wigeon","Eurasian Wigeon","MAPE","Mareca penelope","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"EVGR","EVGR","","evegro","Evening Grosbeak","Evening Grosbeak","COVE","Coccothraustes vespertinus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"EWWR","","","","Winter Wren","Winter Wren","","","","","","",""
"FEHA","","","","Ferruginous Hawk","Ferruginous Hawk","","","","","","",""
"FLOW","","","","Flammulated Owl","Flammulated Owl","","","","","","",""
"FOSP","FOSP","FSSP","foxspa","Fox Sparrow","Fox Sparrow","PAIL","Passerella iliaca","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"FOTE","","","","Forster's Tern","Forster's Tern","","","","","","",""
"FRGU","FRGU","","fragul","Franklin's Gull","Franklin's Gull","LEPI","Leucophaeus pipixcan","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"FTSP","","","","Fork-tailed Storm-Petrel","Fork-tailed Storm-Petrel","","","","","","",""
"GADW","GADW","","gadwal","Gadwall","Gadwall","MAST","Mareca strepera","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"GBHE","GBHE","GBWH","grbher3","Great Blue Heron","Great Blue Heron","ARHE","Ardea herodias","Herons, Egrets, and Bitterns","Ardeidae","ardeid1","Pelecaniformes",""
"GCKI","GCKI","","gockin","Golden-crowned Kinglet","Golden-crowned Kinglet","RESA","Regulus satrapa","Kinglets","Regulidae","reguli1","Passeriformes",""
"GCRF","","","","Gray-crowned Rosy-Finch","Gray-crowned Rosy-Finch","","","","","","",""
"GCSP","GCSP","","gocspa","Golden-crowned Sparrow","Golden-crowned Sparrow","ZOAT","Zonotrichia atricapilla","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"GCTH","","","","Gray-cheeked Thrush","Gray-cheeked Thrush","","","","","","",""
"GGOW","","","","Great Gray Owl","Great Gray Owl","","","","","","",""
"GHOW","GHOW","","grhowl","Great Horned Owl","Great Horned Owl","BUVI","Bubo virginianus","Owls","Strigidae","strigi1","Strigiformes",""
"GOEA","GOEA","","goleag","Golden Eagle","Golden Eagle","AQCH","Aquila chrysaetos","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"GRCA","GRCA","","grycat","Gray Catbird","Gray Catbird","DUCA","Dumetella carolinensis","Mockingbirds and Thrashers","Mimidae","mimida2","Passeriformes",""
"GRFL","","","","Gray Flycatcher","Gray Flycatcher","","","","","","",""
"GRHE","GRHE","GBHE","grnher","Green Heron","Green Heron","BUVI","Butorides virescens","Herons, Egrets, and Bitterns","Ardeidae","ardeid1","Pelecaniformes",""
"GRJA","","","","Gray Jay","Gray Jay","","","","","","",""
"GRPA","","","","Gray Partridge","Gray Partridge","","","","","","",""
"GRSC","GRSC","","gresca","Greater Scaup","Greater Scaup","AYMA","Aythya marila","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"GRSP","","","","Grasshopper Sparrow","Grasshopper Sparrow","","","","","","",""
"GRYE","GRYE","","greyel","Greater Yellowlegs","Greater Yellowlegs","TRME","Tringa melanoleuca","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"GWGH","WGWH","WEGU GWGU","x00051","Western x Glaucous-winged Gull (hybrid)","Western x Glaucous-winged Gull (hybrid)","LAGL LAOC","Larus occidentalis x glaucescens","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"GWGU","GWGU","","glwgul","Glaucous-winged Gull","Glaucous-winged Gull","LAGL","Larus glaucescens","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"GWTE","GWTE","EUTE CWTE EWTE","gnwtea","Green-winged Teal","Green-winged Teal","ANCR","Anas crecca","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"GYRF","","","","Gyrfalcon","Gyrfalcon","","","","","","",""
"HADU","HADU","","harduc","Harlequin Duck","Harlequin Duck","HIHI","Histrionicus histrionicus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"HAFL","HAFL","","hamfly","Hammond's Flycatcher","Hammond's Flycatcher","EMHA","Empidonax hammondii","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"HAHA","HRLH","RTHA","hrthaw1","Red-tailed Hawk (Harlan's)","Red-tailed Hawk (Harlan's)","BUJA","Buteo jamaicensis harlani","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"HAWO","HAWO","","haiwoo","Hairy Woodpecker","Hairy Woodpecker","DRVI","Dryobates villosus","Woodpeckers","Picidae","picida1","Piciformes",""
"HEGU","HERG","AHHG EHGU HEGU","hergul","Herring Gull","Herring Gull","LAAR","Larus argentatus","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes",""
"HETH","HETH","","herthr","Hermit Thrush","Hermit Thrush","CAGU","Catharus guttatus","Thrushes and Allies","Turdidae","turdid1","Passeriformes",""
"HEWA","","","","Hermit Warbler","Hermit Warbler","","","","","","",""
"HOFI","HOFI","","houfin","House Finch","House Finch","HAME","Haemorhous mexicanus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes",""
"HOGR","HOGR","SLGR","horgre","Horned Grebe","Horned Grebe","POAU","Podiceps auritus","Grebes","Podicipedidae","podici1","Podicipediformes",""
"HOLA","HOLA","SHLA","horlar","Horned Lark","Horned Lark","ERAL","Eremophila alpestris","Larks","Alaudidae","alaudi1","Passeriformes",""
"HOME","HOME","","hoomer","Hooded Merganser","Hooded Merganser","LOCU","Lophodytes cucullatus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"HOPU","","","","Horned Puffin","Horned Puffin","","","","","","",""
"HOSP","HOSP","","houspa","House Sparrow","House Sparrow","PADO","Passer domesticus","Old World Sparrows","Passeridae","passer4","Passeriformes",""
"HOWR","HOWR","","houwre","House Wren","House Wren","TRAE","Troglodytes aedon","Wrens","Troglodytidae","troglo1","Passeriformes",""
"HUGO","","","","Hudsonian Godwit","Hudsonian Godwit","","","","","","",""
"HUVI","HUVI","","hutvir","Hutton's Vireo","Hutton's Vireo","VIHU","Vireo huttoni","Vireos, Shrike-Babblers, and Erpornis","Vireonidae","vireon1","Passeriformes",""
"INBU","","","","Indigo Bunting","Indigo Bunting","","","","","","",""
"KILL","KILL","","killde","Killdeer","Killdeer","CHVO","Charadrius vociferus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes",""
"LASP","","","","Lark Sparrow","Lark Sparrow","","","","","","",""
"LBCU","LBCU","","lobcur","Long-billed Curlew","Long-billed Curlew","NUAM","Numenius americanus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"LCSP","","","","Le Conte's Sparrow","Le Conte's Sparrow","","","","","","",""
"LEBI","","","","Least Bittern","Least Bittern","","","","","","",""
"LEFL","LEFL","","leafly","Least Flycatcher","Least Flycatcher","EMMI","Empidonax minimus","Tyrant Flycatchers","Tyrannidae","tyrann2","Passeriformes",""
"LEGO","","","","Lesser Goldfinch","Lesser Goldfinch","","","","","","",""
"LEOW","","","","Long-eared Owl","Long-eared Owl","","","","","","",""
"LESA","LESA","","leasan","Least Sandpiper","Least Sandpiper","CAMI","Calidris minutilla","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"LESC","LESC","","lessca","Lesser Scaup","Lesser Scaup","AYAF","Aythya affinis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"LEWO","LEWO","","lewwoo","Lewis's Woodpecker","Lewis's Woodpecker","MELE","Melanerpes lewis","Woodpeckers","Picidae","picida1","Piciformes",""
"LEYE","LEYE","","lesyel","Lesser Yellowlegs","Lesser Yellowlegs","TRFL","Tringa flavipes","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes",""
"LISP","LISP","","linspa","Lincoln's Sparrow","Lincoln's Sparrow","MELI","Melospiza lincolnii","New World Sparrows","Passerellidae","passer3","Passeriformes",""
"LKBU","","","","Lark Bunting","Lark Bunting","","","","","","",""
"LSPE","","","","Leach's Storm-Petrel","Leach's Storm-Petrel","","","","","","",""
"LTDU","LTDU","","lotduc","Long-tailed Duck","Long-tailed Duck","CLHY","Clangula hyemalis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"LZBU","LAZB","LABU","lazbun","Lazuli Bunting","Lazuli Bunting","PAAM","Passerina amoena","Cardinals and Allies","Cardinalidae","cardin1","Passeriformes",""
"MACW","MGWA","MAWA","macwar","MacGillivray's Warbler","MacGillivray's Warbler","GETO","Geothlypis tolmiei","New World Warblers","Parulidae","paruli1","Passeriformes",""
"MALL","MALL","","mallar3","Mallard","Mallard","ANPL","Anas platyrhynchos","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"MAMU","MAMU","","marmur","Marbled Murrelet","Marbled Murrelet","BRMA","Brachyramphus marmoratus","Auks, Murres, and Puffins","Alcidae","alcida1","Charadriiformes",""
"MAWR","MAWR","","marwre","Marsh Wren","Marsh Wren","CIPA","Cistothorus palustris","Wrens","Troglodytidae","troglo1","Passeriformes",""
"MEGU","","","","Mew Gull","Mew Gull","","","","","","",""
"MERL","MERL","","merlin","Merlin","Merlin","FACO","Falco columbarius","Falcons and Caracaras","Falconidae","falcon1","Falconiformes",""
"MGNW","","","","Magnolia Warbler","Magnolia Warbler","","","","","","",""
"MOBL","MOBL","","moublu","Mountain Bluebird","Mountain Bluebird","SICU","Sialia currucoides","Thrushes and Allies","Turdidae","turdid1","Passeriformes",""
"MOCH","MOCH","","mouchi","Mountain Chickadee","Mountain Chickadee","POGA","Poecile gambeli","Tits, Chickadees, and Titmice","Paridae","parida1","Passeriformes",""
"MODO","MODO","","moudov","Mourning Dove","Mourning Dove","ZEMA","Zenaida macroura","Pigeons and Doves","Columbidae","columb2","Columbiformes",""
"MOQU","","","","Mountain Quail","Mountain Quail","","","","","","",""
"MOWA","","","","Mourning Warbler","Mourning Warbler","","","","","","",""
"MUSW","MUSW","","mutswa","Mute Swan","Mute Swan","CYOL","Cygnus olor","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"MYWA","MYWA","MYWA YRWA","myrwar","Yellow-rumped Warbler (Myrtle)","Yellow-rumped Warbler (Myrtle)","SECO","Setophaga coronata coronata","New World Warblers","Parulidae","paruli1","Passeriformes",""
"NAWA","NAWA","","naswar","Nashville Warbler","Nashville Warbler","LERU","Leiothlypis ruficapilla","New World Warblers","Parulidae","paruli1","Passeriformes",""
"NHOW","","","","Northern Hawk Owl","Northern Hawk Owl","","","","","","",""
"NOBO","","","","Northern Bobwhite","Northern Bobwhite","","","","","","",""
"NOCR","","","","Northwestern Crow","Northwestern Crow","","","","","","",""
"NOFL","NOFL","YSSF","norfli","Northern Flicker","Northern Flicker","COAU","Colaptes auratus","Woodpeckers","Picidae","picida1","Piciformes",""
"NOFU","","","","Northern Fulmar","Northern Fulmar","","","","","","",""
"NOGO","","","","Northern Goshawk","Northern Goshawk","","","","","","",""
"NOHA","NOHA","","norhar2","Northern Harrier","Northern Harrier","CIHU","Circus hudsonius","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes",""
"NOMO","","","","Northern Mockingbird","Northern Mockingbird","","","","","","",""
"NOPI","NOPI","","norpin","Northern Pintail","Northern Pintail","ANAC","Anas acuta","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"NOSH","NSHR","NGSH NOSH","norshr4","Northern Shrike","Northern Shrike","LABO","Lanius borealis","Shrikes","Laniidae","laniid1","Passeriformes",""
"NOSL","NSHO","NOSH","norsho","Northern Shoveler","Northern Shoveler","SPCL","Spatula clypeata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes",""
"NOWA","NOWA","","norwat","Northern Waterthrush","Northern Waterthrush","PANO","Parkesia noveboracensis","New World Warblers","Parulidae","paruli1","Passeriformes",""
"NPOW","NOPO","NPOW","nopowl","Northern Pygmy-Owl","Northern Pygmy-Owl","GLGN","Glaucidium gnoma","Owls","Strigidae","strigi1","Strigiformes",""
"NRWS","NRWS","","nrwswa","Northern Rough-winged Swallow","Northern Rough-winged Swallow","STSE","Stelgidopteryx serripennis","Swallows","Hirundinidae","hirund2","Passeriformes",""
"NSTS","","","","Nelson's Sparrow","Nelson's Sparrow","","","","","","",""
